Date,Ticker,Open,High,Low,Close,Volume
2018-01-02,AAPL,39.986356829367864,40.48924104050735,39.774861257800275,40.47983932495117,102223600
2018-01-02,GOOGL,52.40047527349359,53.543011638081616,52.40047527349359,53.40517044067383,31766000
2018-01-02,MSFT,79.64061284938298,79.80705119925423,79.05808215211601,79.47417449951172,22483800
2018-01-03,AAPL,40.543280645459944,41.0179667910744,40.40933670273748,40.472782135009766,118071600
2018-01-03,GOOGL,53.44100198310784,54.544228982927415,53.41612321520075,54.31631851196289,31318000
2018-01-03,MSFT,79.5758660334768,79.99196532467292,79.49265040797539,79.8440170288086,26061400
2018-01-04,AAPL,40.545630356009404,40.76417538562877,40.43753574472939,40.6607780456543,89738400
2018-01-04,GOOGL,54.593490792046104,54.94132655368835,54.45266550573435,54.527305603027344,26052000
2018-01-04,MSFT,80.06592046507883,81.05530867319985,80.04743045813767,80.54674530029297,21912000
2018-01-05,AAPL,40.75713404190461,41.210668227095155,40.665487033276754,41.123722076416016,94640000
2018-01-05,GOOGL,54.90997919575,55.414069413897295,54.82787129109952,55.25035095214844,30250000
2018-01-05,MSFT,81.05533604993003,81.74882794472589,80.84266209818432,81.54540252685547,23407100
2018-01-08,AAPL,40.970985412597656,41.2670749724046,40.87228530695738,40.970985412597656,82271200
2018-01-08,GOOGL,55.285679617799445,55.69173920189661,55.2359182885604,55.44541549682617,24644000
2018-01-08,MSFT,81.55461930535543,81.90599294055109,80.99982736846393,81.62859344482422,22113000
2018-01-09,AAPL,41.017976757349864,41.13782174424207,40.750085221111235,40.966278076171875,86336000
2018-01-09,GOOGL,55.65591288308646,55.65591288308646,55.14634804825195,55.374755859375,26808000
2018-01-09,MSFT,81.97070698374296,82.04468111277477,81.24022833231646,81.57310485839844,19484300
2018-01-10,AAPL,40.69133933281127,40.9592308841068,40.65373963789506,40.956878662109375,95839600
2018-01-10,GOOGL,55.08663114150458,55.37425747451425,54.936352456980806,55.24288558959961,20734000
2018-01-10,MSFT,81.24026466894988,81.54540279676549,80.82417235252088,81.20327758789062,18652200
2018-01-11,AAPL,41.02736864709842,41.23886419766653,41.003871531948754,41.18951416015625,74670800
2018-01-11,GOOGL,55.35087121590882,55.47726582994094,55.060758142760186,55.33793258666992,22424000
2018-01-11,MSFT,81.48989309668704,81.48989309668704,80.66695020120483,81.44366455078125,17808900
2018-01-12,AAPL,41.401004910477496,41.678298112455614,41.27645908815704,41.61484909057617,101672400
2018-01-12,GOOGL,55.240896749478004,56.29585061961878,55.13689416440777,56.26350784301758,38586000
